id,standard,title,description,slug,category,tags,organization,scope,key_procedures,applicable_materials,related_topics,official_url,purchase_url,related_standard_ids,related_guide_slugs,status,featured,sort_order,view_count,save_count,created_at,updated_at
3f63c56d-04d2-41cd-ace5-03fdcd6387b9,ASTM E1316,Standard Terminology for Nondestructive Examinations,Standard terminology for nondestructive examinations. Definitions and explanations of terms used in materials testing and examination.,astm-e1316,Reference,"[""terminology"",""nondestructive-examination"",""reference"",""definitions""]",ASTM,,,,,,,,,published,false,36,0,0,2025-12-05 00:42:19.037728+00,2025-12-05 00:42:19.037728+00
42fda232-d56a-49f5-994e-8b2b9abae116,ASTM E18,Standard Test Methods for Rockwell Hardness of Metallic Materials,"Test methods for Rockwell hardness testing using various scales (A, B, C, etc.). Covers procedures, equipment calibration, and test conditions.",astm-e18,Testing,"[""hardness"",""rockwell"",""testing""]",ASTM,,,,,,,,,published,false,7,0,0,2025-12-05 00:41:19.263219+00,2025-12-05 00:41:19.263219+00
545854f7-3ece-489a-bd49-0d63e1574f6d,ASTM E140,Standard Hardness Conversion Tables for Metals,"Conversion tables for converting between different hardness scales (Rockwell, Brinell, Vickers, Knoop). Provides relationship tables for various materials.",astm-e140,Reference,"[""hardness"",""conversion"",""reference"",""tables""]",ASTM,,,,,,,,,published,false,9,0,0,2025-12-05 00:41:19.263219+00,2025-12-05 00:41:19.263219+00
5af181ec-1d7b-4f03-b5fc-70cd8ad56560,ISO 643,Steels - Micrographic Determination of the Apparent Grain Size,International standard for micrographic determination of apparent grain size in steels. Procedures for grain size measurement and reporting.,iso-643,Analysis,"[""grain-size"",""steel"",""micrographic"",""iso"",""analysis""]",ISO,,,,,,,,,published,false,40,0,0,2025-12-05 00:42:19.037728+00,2025-12-05 00:42:19.037728+00
60257ae4-ffaf-4844-9f0c-f92b8ff53279,ASTM E112,Standard Test Methods for Determining Average Grain Size,"Methods for determining average grain size using comparison charts, planimetric (Jeffries) method, and intercept method. Includes procedures for different grain structures.",astm-e112,Analysis,"[""grain-size"",""analysis"",""measurement"",""planimetric"",""intercept""]",ASTM,,,,,,,,,published,false,3,0,0,2025-12-05 00:41:19.263219+00,2025-12-05 00:41:19.263219+00
70190a8c-73ce-4b9d-86ea-05343369544b,ASTM E562,Standard Test Method for Determining Volume Fraction by Systematic Manual Point Count,Manual point count method for determining volume fraction of phases or constituents in microstructures. Includes procedures and statistical considerations.,astm-e562,Analysis,"[""volume-fraction"",""point-count"",""quantitative"",""analysis""]",ASTM,,,,,,,,,published,false,12,0,0,2025-12-05 00:41:19.263219+00,2025-12-05 00:41:19.263219+00
75f08f73-09ee-4634-bebc-0d5b17f1231d,ASTM E2015,Standard Guide for Preparation of Plastics and Polymeric Specimens for Microstructural Examination,"Guide for preparing polymeric materials for microstructural examination. Covers sectioning, mounting, polishing, and etching techniques for plastics.",astm-e2015,Preparation,"[""preparation"",""plastics"",""polymers"",""specimen""]",ASTM,,,,,,,,,published,false,16,0,0,2025-12-05 00:41:19.263219+00,2025-12-05 00:41:19.263219+00
7dcc9174-6829-4a4e-b3b0-101e9582518f,ASTM E110,Standard Test Method for Rockwell and Brinell Hardness of Metallic Materials by Portable Hardness Testers,Test method for Rockwell and Brinell hardness testing using portable hardness testers. Procedures for field and portable hardness measurements.,astm-e110,Testing,"[""hardness"",""rockwell"",""brinell"",""portable"",""testing""]",ASTM,,,,,,,,,published,false,29,0,0,2025-12-05 00:42:19.037728+00,2025-12-05 00:42:19.037728+00
814ef616-4581-4491-94be-6574dcefeb9b,ASTM E2142,Standard Test Methods for Rating and Classifying Inclusions in Steel Using the Scanning Electron Microscope,Test methods for rating and classifying inclusions in steel using scanning electron microscopy. Includes procedures for SEM-based inclusion analysis.,astm-e2142,Analysis,"[""inclusions"",""sem"",""scanning-electron-microscope"",""steel"",""analysis""]",ASTM,,,,,,,,,published,false,24,0,0,2025-12-05 00:42:19.037728+00,2025-12-05 00:42:19.037728+00
83709f79-041e-4608-a703-bdfe777efd38,ASTM E2014,Standard Guide for Preparation of Plastics and Polymeric Specimens for Microstructural Examination,"Guide for preparing plastics and polymeric materials for microstructural examination. Covers sectioning, mounting, polishing, and etching techniques.",astm-e2014,Preparation,"[""preparation"",""plastics"",""polymers"",""specimen""]",ASTM,,,,,,,,,published,false,27,0,0,2025-12-05 00:42:19.037728+00,2025-12-05 00:42:19.037728+00
83b2dc41-cccd-476c-9c0d-5aea7a5787c0,ASTM E1578,Standard Guide for Laboratory Information Management Systems (LIMS),"Guide for implementing and using Laboratory Information Management Systems for tracking samples, procedures, and results.",astm-e1578,Documentation,"[""lims"",""documentation"",""data-management""]",ASTM,,,,,,,,,published,false,19,0,0,2025-12-05 00:41:19.263219+00,2025-12-05 00:41:19.263219+00
89c27a85-9e5f-4422-94ba-e6a6ca6de6ff,ISO 4967,Steel - Determination of Content of Non-metallic Inclusions - Micrographic Method Using Standard Diagrams,International standard for determining non-metallic inclusion content in steel using micrographic methods and standard diagrams.,iso-4967,Analysis,"[""inclusions"",""steel"",""micrographic"",""iso"",""analysis""]",ISO,,,,,,,,,published,false,41,0,0,2025-12-05 00:42:19.037728+00,2025-12-05 00:42:19.037728+00
9e65ee12-4db1-4870-bcc1-dcc400e1f0cc,ASTM E103,Standard Test Method for Rapid Indentation Hardness Testing of Metallic Materials,Test method for rapid indentation hardness testing. Procedures for quick hardness measurements using portable or automated systems.,astm-e103,Testing,"[""hardness"",""rapid-testing"",""indentation"",""testing""]",ASTM,,,,,,,,,published,false,28,0,0,2025-12-05 00:42:19.037728+00,2025-12-05 00:42:19.037728+00
9f5d4e97-1fed-474d-a9a6-4ad115312283,ASTM E930,Standard Test Methods for Estimating the Largest Observed Grain Size (ALA Grain Size),"Methods for estimating the largest observed grain size in a microstructure, useful for quality control and failure analysis applications.",astm-e930,Analysis,"[""grain-size"",""ala"",""largest-grain"",""analysis""]",ASTM,,,,,,,,,published,false,13,0,0,2025-12-05 00:41:19.263219+00,2025-12-05 00:41:19.263219+00
a0bfbfee-6026-49b7-accd-e1652b2c411e,ASTM E1919,Standard Guide for Worldwide Published Standards Relating to Metallography,Comprehensive guide listing published standards from various organizations worldwide related to metallography and materials testing.,astm-e1919,Reference,"[""reference"",""standards"",""worldwide"",""metallography""]",ASTM,,,,,,,,,published,false,20,0,0,2025-12-05 00:41:19.263219+00,2025-12-05 00:41:19.263219+00
a26b92f5-da85-4c52-982d-85b70b34365d,ASTM E986,Standard Practice for Scanning Electron Microscope Beam Size Characterization,Practice for characterizing scanning electron microscope beam size. Procedures for measuring and documenting SEM beam characteristics.,astm-e986,Calibration,"[""calibration"",""sem"",""beam-size"",""characterization""]",ASTM,,,,,,,,,published,false,34,0,0,2025-12-05 00:42:19.037728+00,2025-12-05 00:42:19.037728+00
af9c7e0c-0ca7-4d65-b2da-9cdc45bd4859,ASTM E10,Standard Test Method for Brinell Hardness of Metallic Materials,"Test method for Brinell hardness testing. Includes procedures, indenter specifications, test forces, and measurement requirements.",astm-e10,Testing,"[""hardness"",""brinell"",""testing""]",ASTM,,,,,,,,,published,false,8,0,0,2025-12-05 00:41:19.263219+00,2025-12-05 00:41:19.263219+00
b5b552b9-a10b-4452-8225-d25fddeab07f,ASTM E1382,Standard Test Methods for Determining Average Grain Size Using Semiautomatic and Automatic Image Analysis,"Test methods for determining average grain size using semiautomatic and automatic image analysis systems. Includes procedures for calibration, measurement, and reporting.",astm-e1382,Analysis,"[""grain-size"",""image-analysis"",""automatic"",""semiautomatic"",""analysis""]",ASTM,,,,,,,,,published,false,21,0,0,2025-12-05 00:42:19.037728+00,2025-12-05 00:42:19.037728+00
b67198c5-8567-42a6-a13d-f4ccc8f9fea1,ASTM E883,Standard Guide for Reflected-Light Photomicrography,"Guidelines for capturing photomicrographs of metallographic specimens, including equipment setup, lighting, magnification selection, and image documentation.",astm-e883,Documentation,"[""photomicrography"",""documentation"",""imaging"",""microscopy""]",ASTM,,,,,,,,,published,false,4,0,0,2025-12-05 00:41:19.263219+00,2025-12-05 00:41:19.263219+00
c70619e0-0ae1-4211-89d3-adc66ce0dfdd,ASTM E92,Standard Test Methods for Vickers Hardness and Knoop Hardness of Metallic Materials,"Test methods for Vickers and Knoop hardness testing. Includes procedures, equipment requirements, and calculation methods.",astm-e92,Testing,"[""hardness"",""vickers"",""knoop"",""testing""]",ASTM,,,,,,,,,published,false,6,0,0,2025-12-05 00:41:19.263219+00,2025-12-05 00:41:19.263219+00
cc9c206c-51ed-41ef-b695-7a14622ce97d,ASTM E3,Standard Guide for Preparation of Metallographic Specimens,"Comprehensive guide covering all aspects of metallographic specimen preparation including sectioning, mounting, grinding, polishing, and etching procedures.",astm-e3,Preparation,"[""preparation"",""specimen"",""grinding"",""polishing"",""mounting""]",ASTM,,,,,,,,,published,false,1,0,0,2025-12-05 00:41:19.263219+00,2025-12-05 00:41:19.263219+00
cf323515-56dd-4026-8f5e-98ec697eecae,ASTM E2283,Standard Practice for Extreme Value Analysis of Nonmetallic Inclusions in Steel and Other Microstructural Features,Practice for extreme value analysis of nonmetallic inclusions and other microstructural features. Statistical methods for characterizing rare or extreme features.,astm-e2283,Analysis,"[""inclusions"",""extreme-value"",""statistics"",""analysis""]",ASTM,,,,,,,,,published,false,23,0,0,2025-12-05 00:42:19.037728+00,2025-12-05 00:42:19.037728+00
dfbbe833-9235-4aec-9970-21b13bc835ed,ASTM E448,Standard Practice for Scleroscope Hardness Testing of Metallic Materials,Practice for scleroscope hardness testing of metallic materials. Procedures for rebound hardness testing using scleroscope instruments.,astm-e448,Testing,"[""hardness"",""scleroscope"",""rebound"",""testing""]",ASTM,,,,,,,,,published,false,30,0,0,2025-12-05 00:42:19.037728+00,2025-12-05 00:42:19.037728+00
e3d87f76-5dde-4828-8061-91b765689d83,ISO 6508,Metallic Materials - Rockwell Hardness Test,"International standard for Rockwell hardness testing of metallic materials. Test procedures, equipment requirements, and reporting for Rockwell hardness measurements.",iso-6508,Testing,"[""hardness"",""rockwell"",""iso"",""testing""]",ISO,,,,,,,,,published,false,39,0,0,2025-12-05 00:42:19.037728+00,2025-12-05 00:42:19.037728+00
e641fa51-b71d-4068-ac77-b5204793331d,ASTM E1268,Standard Practice for Assessing the Degree of Banding or Orientation of Microstructures,Practice for assessing the degree of banding or orientation in microstructures. Includes procedures for measurement and reporting of microstructural directionality.,astm-e1268,Analysis,"[""banding"",""orientation"",""microstructure"",""analysis""]",ASTM,,,,,,,,,published,false,22,0,0,2025-12-05 00:42:19.037728+00,2025-12-05 00:42:19.037728+00
ed5dae09-a67c-47bc-8a02-0ff7aba1e528,ASTM E1180,Standard Practice for Preparing Sulfur Prints for Macrostructural Examination,Practice for preparing sulfur prints for macrostructural examination. Procedures for revealing sulfur distribution in steel and other materials.,astm-e1180,Etching,"[""sulfur-prints"",""macrostructural"",""etching"",""steel""]",ASTM,,,,,,,,,published,false,32,0,0,2025-12-05 00:42:19.037728+00,2025-12-05 00:42:19.037728+00
efb0b961-1495-4218-b76b-a7a5fa974122,ISO 6507,Metallic Materials - Vickers Hardness Test,"International standard for Vickers hardness testing of metallic materials. Test procedures, equipment requirements, and reporting for Vickers hardness measurements.",iso-6507,Testing,"[""hardness"",""vickers"",""iso"",""testing""]",ISO,,,,,,,,,published,false,37,0,0,2025-12-05 00:42:19.037728+00,2025-12-05 00:42:19.037728+00
f043ab5e-7979-4b4b-ba8e-f9ae918b24df,ASTM E407,Standard Practice for Microetching Metals and Alloys,"Procedures for microetching metals and alloys to reveal microstructural features. Includes reagent preparation, application methods, and safety considerations.",astm-e407,Etching,"[""etching"",""microetching"",""reagents"",""safety""]",ASTM,,,,,,,,,published,false,2,0,0,2025-12-05 00:41:19.263219+00,2025-12-05 00:41:19.263219+00
f1fc5126-b8fb-4cae-9df0-3f29d4944715,ISO 6506,Metallic Materials - Brinell Hardness Test,"International standard for Brinell hardness testing of metallic materials. Test procedures, equipment requirements, and reporting for Brinell hardness measurements.",iso-6506,Testing,"[""hardness"",""brinell"",""iso"",""testing""]",ISO,,,,,,,,,published,false,38,0,0,2025-12-05 00:42:19.037728+00,2025-12-05 00:42:19.037728+00
f756f7a8-8538-41ea-b9b8-5a736abffcff,ASTM E1245,Standard Practice for Determining the Inclusion or Second-Phase Constituent Content of Metals by Automatic Image Analysis,Practice for quantitative analysis of inclusions and second-phase constituents using automatic image analysis systems.,astm-e1245,Analysis,"[""inclusions"",""image-analysis"",""quantitative"",""analysis""]",ASTM,,,,,,,,,published,false,10,0,0,2025-12-05 00:41:19.263219+00,2025-12-05 00:41:19.263219+00
fc2fa0bf-1f42-4045-a8c7-a3a93d7ed12d,ASTM E381,"Standard Method of Macroetch Testing, Inspection, and Rating Steel Products, Comprising Bars, Billets, Blooms, and Forgings","Method for macroetch testing of steel products to reveal defects, segregation, and flow lines. Includes rating procedures and acceptance criteria.",astm-e381,Testing,"[""macroetching"",""steel"",""testing"",""inspection"",""rating""]",ASTM,,,,,,,,,published,false,18,0,0,2025-12-05 00:41:19.263219+00,2025-12-05 00:41:19.263219+00
